3982|129|What do these infections cause?|massive damage and cell death to the epithelial barrier, so much so that areas of the epithelium may be completely absent post infection (Yan et al., 2016; Tan et al., 2019) . Factors such as RANTES and CXCL10, which recruit immune cells to induce apoptosis, are strongly induced from IFV infected epithelium |2020-08-13 05:00:53
4249|115|What do individual studies report on viral  shedding?| long periods of viral shedding, sometimes intermittently and not necessarily linked to the presence of disease symptoms.|2020-08-13 05:00:19
1921|145|What is an effective public health hygiene?| Respiratory hygiene i|2020-08-13 05:00:59
3621|99|What are the symptoms at the onset?|fever, cough, and myalgia or fatigue.|2020-08-13 05:00:20
4450|84|What do authors consider  in this study?| the features that influence the structure of host population dynamics that may lead to viral outbreaks|2020-08-13 05:00:15
3254|58|What are the most common clinical manifestations of severe human adenovirus type 55 (HAdV-55) induced ARDS?|Persistent high fever, dyspnea and rapid progression to respiratory failure within 2 weeks, together with bilateral consolidations and infiltrates at the same time, are the most frequent clinical manifestations|2020-08-13 05:00:17
1724|94|What is the potential of phage for infectious and chronic diseases?|prophylactic and therapeutic agent|2020-08-13 05:00:59
1593|24|Why might an organization like the WHO be necessary?|to promote, set standards in, and evaluate progress toward better health for people in all countries|2020-08-13 05:00:13
1604|36|What was the prevalence of Coronavirus OC43 in community samples in Ilorin, Nigeria?|13.3% (95% CI 6.9-23.6%)|2020-08-13 05:00:44
5239|57|What is another word for hypercytokinaemia?|cytokine storm'|2020-08-13 05:00:13
1149|120|What illness is caused by the 2019-nCOV Coronavirus?|The novel coronavirus (2019-nCoV) infection caused pneumonia. |2020-08-13 05:00:56
1635|43|What can nuclear receptors regulate?|homeostasis, differentiation, embryonic development, and organ physiology|2020-08-13 05:00:48
4275|115|What   has prevented worldwide spread of MERS-COV?|the low transmission rate|2020-08-13 05:00:01
1627|25|What is the long-term risk of chronic hepatitis C infection?|cirrhosis and hepatocellular carcinoma|2020-08-13 05:00:46
2263|89|Why did the T20/N36 complex not show a typical alpha helical conformation?|Because T20 lacks the pocket-binding domain (PBD)|2020-08-13 05:00:10
3728|140|Being closest to 2019-nCoV, which species do the two bat SARS-related coronavirus ZXC21 and ZC45 infect?|can infect suckling rats and cause inflammation in the brain tissue, and pathological changes in lung & intestine. |2020-08-13 05:00:30
1110|138|What was the age profile of mortality in the 1918 swine flu?|age-speciﬁc death rates in the1918 pandemic exhibited a distinct pattern that has not beendocumented before or since: a “W—shaped” curve, similar tothe familiar U-shaped curve but with the addition of a third(middle) distinct peak of deaths in young adults z20410years of age|2020-08-13 05:00:44
284|103|What is the family of the SARS coronavirus?|Coronaviridae|2020-08-13 05:00:16
278|1|How many children were infected by HIV-1 in 2008-2009, worldwide?|more than 400,000 children were infected worldwide, mostly through MTCT and 90% of them lived in sub-Saharan Africa. |2020-08-13 05:00:39
